,precision,recall,f1-score,support
World,0.9316837009144702,0.911578947368421,0.9215216812982177,1900.0
Sports,0.9548949256791389,0.9805263157894737,0.9675408984679305,1900.0
Business,0.8919638105375199,0.8821052631578947,0.8870071447472876,1900.0
Sci/Tech,0.8937728937728938,0.8989473684210526,0.8963526633429546,1900.0
accuracy,0.9182894736842105,0.9182894736842105,0.9182894736842105,0.9182894736842105
macro avg,0.9180788327260057,0.9182894736842104,0.9181055969640975,7600.0
weighted avg,0.9180788327260057,0.9182894736842105,0.9181055969640975,7600.0
