,precision,recall,f1-score,support
World,0.9609207708779444,0.9447368421052632,0.95276008492569,1900.0
Sports,0.9842684845306765,0.9878947368421053,0.9860782768584188,1900.0
Business,0.9052132701421801,0.9047368421052632,0.9049749934193209,1900.0
Sci/Tech,0.907061266874351,0.9194736842105263,0.913225300575013,1900.0
accuracy,0.9392105263157895,0.9392105263157895,0.9392105263157895,0.9392105263157895
macro avg,0.9393659481062879,0.9392105263157895,0.9392596639446107,7600.0
weighted avg,0.939365948106288,0.9392105263157895,0.9392596639446106,7600.0
